primary_genre,total_tracks
"Acoustic Pop",1
Afrobeats/Pop,2
"Alt Rock",7
"Art Pop",1
"Art Rock",1
"Blues Rock",1
Country/Pop,1
EDM/Pop,4
Electropop,1
"Emo Rap",1
"Folk Pop",1
Funk/Pop,2
Grunge,1
Hip-Hop,7
Hip-Hop/Pop,2
"Holiday Pop",1
"Indie Folk",2
"Indie Pop",12
"Indie Rock",2
K-Pop/Pop,1
"Latin Pop",2
Nu-Disco,1
Pop,17
"Pop Punk",3
"Pop Rap",1
"Pop Rock",6
Pop/Country,1
Pop/Dancehall,1
Pop/Folk,1
Pop/Funk,1
Pop/R&B,1
Pop/Soul,1
R&B,1
R&B/Pop,2
R&B/Soul,1
Reggaeton,1
Soul/R&B,1
Synth-Pop,6
"Trap Pop",1
